ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District
12166069,JD367698,02/01/2019 09:00:00 AM,038XX N KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,1733,017
12165613,JD367042,08/20/2019 01:00:00 PM,054XX N BROADWAY,0890,THEFT,FROM BUILDING,NURSING / RETIREMENT HOME,2013,020
12165481,JD366983,08/13/2019 10:00:00 AM,060XX S SANGAMON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,0712,007
11786897,JC346780,07/13/2019 09:00:00 AM,001XX N PULASKI RD,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,1114,011
11882608,JC491836,10/30/2019 10:25:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,POLICE FACILITY / VEHICLE PARKING LOT,1134,011
11882595,JC487169,10/26/2019 11:52:23 AM,029XX W VAN BUREN ST,1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,STREET,1124,011
11876867,JC469715,10/12/2019 08:45:00 AM,038XX W CHICAGO AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,1112,011
12164746,JD366080,09/15/2019 08:00:00 PM,061XX N SHERIDAN RD,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,2433,024
12165032,JD366533,08/21/2019 08:00:00 PM,047XX N WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1911,019
11775053,JC357069,07/20/2019 10:44:46 AM,001XX E 105TH ST,2027,NARCOTICS,POSSESS - CRACK,APARTMENT,0512,005
12163097,JD364154,10/07/2019 12:01:00 AM,056XX S MICHIGAN AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,0225,002
12163131,JD364207,12/01/2019 12:00:00 PM,072XX S PRAIRIE AVE,0810,THEFT,OVER $500,RESIDENCE,0323,003
12162785,JD363806,04/01/2019 12:00:00 PM,082XX S BURLEY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),0424,004
12085135,JD272123,01/17/2019 12:00:00 AM,075XX S EGGLESTON AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,0621,006
12162977,JD364065,05/17/2019 02:30:00 PM,064XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,APARTMENT,0314,003
11779738,JC365879,07/26/2019 05:31:44 PM,001XX E 118TH PL,2027,NARCOTICS,POSSESS - CRACK,RESIDENCE,0532,005
11775058,JC356923,07/20/2019 09:50:00 AM,0000X W 103RD ST,2027,NARCOTICS,POSSESS - CRACK,HOTEL / MOTEL,0512,005
11777469,HZ298080,06/06/2019 09:55:00 PM,052XX W DIVERSEY AVE,2012,NARCOTICS,MANUFACTURE / DELIVER - COCAINE,BAR OR TAVERN,2514,025
11771502,JC316867,06/22/2019 08:55:00 AM,007XX N LAWNDALE AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,1112,011
11771437,JC283600,05/29/2019 02:15:00 PM,002XX S CANAL ST,2031,NARCOTICS,POSSESS - METHAMPHETAMINE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,0121,001
11769037,JC272438,05/21/2019 02:14:03 PM,009XX W 54TH ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,RESIDENCE,0934,009
12161562,JD362455,08/10/2019 02:45:00 PM,072XX S STATE ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,SCHOOL - PUBLIC BUILDING,0323,003
12162108,JD362432,09/28/2019 03:45:00 PM,023XX N CAMPBELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1431,014
12161857,JD362717,03/01/2019 12:00:00 AM,0000X E LAKE ST,0820,THEFT,$500 AND UNDER,APARTMENT,0111,001
12111727,JD303456,12/27/2019 01:10:00 PM,001XX W 35TH ST,0810,THEFT,OVER $500,CTA PARKING LOT / GARAGE / OTHER PROPERTY,0915,009
12095612,JD284534,04/02/2019 11:50:00 AM,077XX S CARPENTER ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,0612,006
12087338,JD274579,12/20/2019 01:10:00 PM,015XX W WARREN BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,1224,012
12107888,JD299026,05/15/2019 12:00:00 AM,013XX N Hoyne Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,1424,014
